State,Governor,Party
Alabama,Kay Ivey,Republican
Alaska,Bill Walker,Independent
Arizona,Doug Ducey,Republican
Arkansas,Asa Hutchinson,Republican
California,Jerry Brown,Democratic
Colorado,John Hickenlooper,Democratic
Connecticut,Dannel Malloy,Democratic
Delaware,John Carney,Democratic
Florida,Rick Scott,Republican
Georgia,Nathan Deal,Republican
Hawaii,David Ige,Democratic
Idaho,Butch Otter,Republican
Illinois,Bruce Rauner,Republican
Indiana,Eric Holcomb,Republican
Iowa,Kim Reynolds,Republican
Kansas,Sam Brownback,Republican
Kentucky,Matt Bevin,Republican
Louisiana,John Bel Edwards,Democratic
Maine,Paul LePage,Republican
Maryland,Larry Hogan,Republican
Massachusetts,Charlie Baker,Republican
Michigan,Rick Snyder,Republican
Minnesota,Mark Dayton,Democratic-Farmer-Labor
Mississippi,Phil Bryant,Republican
Missouri,Eric Greitens,Republican
Montana,Steve Bullock,Democratic
Nebraska,Pete Ricketts,Republican
Nevada,Brian Sandoval,Republican
New Hampshire,Chris Sununu,Republican
New Jersey,Chris Christie,Republican
New Mexico,Susana Martinez,Republican
New York,Andrew Cuomo,Democratic
North Carolina,Roy Cooper,Democratic
North Dakota,Doug Burgum,Republican
Ohio,John Kasich,Republican
Oklahoma,Mary Fallin,Republican
Oregon,Kate Brown,Democratic
Pennsylvania,Tom Wolf,Democratic
Rhode Island,Gina Raimondo,Democratic
South Carolina,Henry McMaster,Republican
South Dakota,Dennis Daugaard,Republican
Tennessee,Bill Haslam,Republican
Texas,Greg Abbott,Republican
Utah,Gary Herbert,Republican
Vermont,Phil Scott,Republican
Virginia,Ralph Northam,Democratic
Washington,Jay Inslee,Democratic
West Virginia,Jim Justice,Republican
Wisconsin,Scott Walker,Republican
Wyoming,Matt Mead,Republican
