"State","Year","MedHouseholdIncome"
"Oregon",2017,60212
"United States",2017,60336
"Wyoming",2017,60434
"North Dakota",2017,61843
"Wisconsin",2017,59305
"Texas",2017,59206
"Pennsylvania",2017,59105
"Nevada",2017,58003
"Nebraska",2017,59970
"Vermont",2017,57513
"Kansas",2017,56422
"Arizona",2017,56581
"Georgia",2017,56183
"Iowa",2017,58570
"Idaho",2017,52225
"Michigan",2017,54909
"South Dakota",2017,56521
"Florida",2017,52594
"Maine",2017,55277
"Ohio",2017,54021
"Indiana",2017,54181
"Missouri",2017,53578
"North Carolina",2017,52752
"Montana",2017,53386
"South Carolina",2017,50570
"Tennessee",2017,51340
"Oklahoma",2017,50051
"Kentucky",2017,48375
"New Mexico",2017,46744
"Alabama",2017,48123
"Louisiana",2017,46145
"Arkansas",2017,45869
"West Virginia",2017,43469
"Mississippi",2017,43529
"Distric of Columbia",2016,75506
"Maryland",2016,78945
"Massachusetts",2016,75297
"New Jersey",2016,76126
"Hawaii",2016,74511
"California",2016,67739
"Connecticut",2016,73433
"Washington",2016,67106
"New Hampshire",2016,70936
"Colorado",2016,65685
"Virginia",2016,68114
"Utah",2016,65977
"Alaska",2016,76440
"Minnesota",2016,65599
"New York",2016,62909
"Rhode Island",2016,60596
"Delaware",2016,61757
"Illinois",2016,60960
"Oregon",2016,57532
"United States",2016,57617
"Wyoming",2016,59882
"North Dakota",2016,60656
"Wisconsin",2016,56811
"Texas",2016,56565
"Pennsylvania",2016,56907
"Nevada",2016,55180
"Nebraska",2016,56927
"Vermont",2016,57677
"Kansas",2016,54935
"Arizona",2016,53558
"Georgia",2016,53559
"Iowa",2016,56247
"Idaho",2016,51807
"Michigan",2016,52491
"South Dakota",2016,54467
"Florida",2016,50860
"Maine",2016,53079
"Ohio",2016,52344
"Indiana",2016,52314
"Missouri",2016,51746
"North Carolina",2016,50584
"Montana",2016,50027
"South Carolina",2016,49501
"Tennessee",2016,48547
"Oklahoma",2016,49176
"Kentucky",2016,46659
"New Mexico",2016,46748
"Alabama",2016,46257
"Louisiana",2016,45146
"Arkansas",2016,44334
"West Virginia",2016,43385
"Mississippi",2016,41754
"Distric of Columbia",2015,75628
"Maryland",2015,75847
"Massachusetts",2015,70628
"New Jersey",2015,72222
"Hawaii",2015,73486
"California",2015,64500
"Connecticut",2015,71346
"Washington",2015,64129
"New Hampshire",2015,70303
"Colorado",2015,63909
"Virginia",2015,66262
"Utah",2015,62912
"Alaska",2015,73355
"Minnesota",2015,63488
"New York",2015,60850
"Rhode Island",2015,58073
"Delaware",2015,61255
"Illinois",2015,59588
"Oregon",2015,54148
"United States",2015,55775
"Wyoming",2015,60214
"North Dakota",2015,60557
"Wisconsin",2015,55638
"Texas",2015,55653
"Pennsylvania",2015,55702
"Nevada",2015,52431
"Nebraska",2015,54996
"Vermont",2015,56990
"Kansas",2015,53906
"Arizona",2015,51492
"Georgia",2015,51244
"Iowa",2015,54736
"Idaho",2015,48275
"Michigan",2015,51084
"South Dakota",2015,53017
"Florida",2015,49426
"Maine",2015,51494
"Ohio",2015,51075
"Indiana",2015,50532
"Missouri",2015,50238
"North Carolina",2015,47830
"Montana",2015,49509
"South Carolina",2015,47238
"Tennessee",2015,47275
"Oklahoma",2015,48568
"Kentucky",2015,45215
"New Mexico",2015,45382
"Alabama",2015,44765
"Louisiana",2015,45727
"Arkansas",2015,41995
"West Virginia",2015,42019
"Mississippi",2015,40593
"Distric of Columbia",2014,71648
"Maryland",2014,73971
"Massachusetts",2014,69160
"New Jersey",2014,71919
"Hawaii",2014,69592
"California",2014,61933
"Connecticut",2014,70048
"Washington",2014,61366
"New Hampshire",2014,66532
"Colorado",2014,61303
"Virginia",2014,64902
"Utah",2014,60922
"Alaska",2014,71583
"Minnesota",2014,61481
"New York",2014,58878
"Rhode Island",2014,54891
"Delaware",2014,59716
"Illinois",2014,57444
"Oregon",2014,51075
"United States",2014,53657
"Wyoming",2014,57055
"North Dakota",2014,59029
"Wisconsin",2014,52622
"Texas",2014,53035
"Pennsylvania",2014,53234
"Nevada",2014,51450
"Nebraska",2014,52686
"Vermont",2014,54166
"Kansas",2014,52504
"Arizona",2014,50068
"Georgia",2014,49321
"Iowa",2014,53712
"Idaho",2014,47861
"Michigan",2014,49847
"South Dakota",2014,50979
"Florida",2014,47463
"Maine",2014,49462
"Ohio",2014,49308
"Indiana",2014,49446
"Missouri",2014,48363
"North Carolina",2014,46556
"Montana",2014,46328
"South Carolina",2014,45238
"Tennessee",2014,44361
"Oklahoma",2014,47529
"Kentucky",2014,42958
"New Mexico",2014,44803
"Alabama",2014,42830
"Louisiana",2014,44555
"Arkansas",2014,41262
"West Virginia",2014,41059
"Mississippi",2014,39680
"Distric of Columbia",2013,67572
"Maryland",2013,72483
"Massachusetts",2013,66768
"New Jersey",2013,70165
"Hawaii",2013,68020
"California",2013,60190
"Connecticut",2013,67098
"Washington",2013,58405
"New Hampshire",2013,64230
"Colorado",2013,58823
"Virginia",2013,62666
"Utah",2013,59770
"Alaska",2013,72237
"Minnesota",2013,60702
"New York",2013,57369
"Rhode Island",2013,55902
"Delaware",2013,57846
"Illinois",2013,56210
"Oregon",2013,50251
"United States",2013,52250
"Wyoming",2013,58752
"North Dakota",2013,55759
"Wisconsin",2013,51467
"Texas",2013,51704
"Pennsylvania",2013,52007
"Nevada",2013,51230
"Nebraska",2013,51440
"Vermont",2013,52578
"Kansas",2013,50972
"Arizona",2013,48510
"Georgia",2013,47829
"Iowa",2013,52229
"Idaho",2013,46783
"Michigan",2013,48273
"South Dakota",2013,48947
"Florida",2013,46036
"Maine",2013,46974
"Ohio",2013,48081
"Indiana",2013,47529
"Missouri",2013,46931
"North Carolina",2013,45906
"Montana",2013,46972
"South Carolina",2013,44163
"Tennessee",2013,44297
"Oklahoma",2013,45690
"Kentucky",2013,43399
"New Mexico",2013,43872
"Alabama",2013,42849
"Louisiana",2013,44164
"Arkansas",2013,40511
"West Virginia",2013,41253
"Mississippi",2013,37963
"Distric of Columbia",2012,66583
"Maryland",2012,71122
"Massachusetts",2012,65339
"New Jersey",2012,69667
"Hawaii",2012,66259
"California",2012,58328
"Connecticut",2012,67276
"Washington",2012,57573
"New Hampshire",2012,63280
"Colorado",2012,56765
"Virginia",2012,61741
"Utah",2012,57049
"Alaska",2012,67712
"Minnesota",2012,58906
"New York",2012,56448
"Rhode Island",2012,54554
"Delaware",2012,58415
"Illinois",2012,55137
"Oregon",2012,49161
"United States",2012,51371
"Wyoming",2012,54901
"North Dakota",2012,53585
"Wisconsin",2012,51059
"Texas",2012,50740
"Pennsylvania",2012,51230
"Nevada",2012,49760
"Nebraska",2012,50723
"Vermont",2012,52977
"Kansas",2012,50241
"Arizona",2012,47826
"Georgia",2012,47209
"Iowa",2012,50957
"Idaho",2012,45489
"Michigan",2012,46859
"South Dakota",2012,48362
"Florida",2012,45040
"Maine",2012,46709
"Ohio",2012,46829
"Indiana",2012,46974
"Missouri",2012,45321
"North Carolina",2012,45150
"Montana",2012,45076
"South Carolina",2012,43107
"Tennessee",2012,42764
"Oklahoma",2012,44312
"Kentucky",2012,41724
"New Mexico",2012,42558
"Alabama",2012,41574
"Louisiana",2012,42944
"Arkansas",2012,40112
"West Virginia",2012,40196
"Mississippi",2012,37095
"Distric of Columbia",2011,63124
"Maryland",2011,70004
"Massachusetts",2011,62859
"New Jersey",2011,67458
"Hawaii",2011,61821
"California",2011,57287
"Connecticut",2011,65753
"Washington",2011,56835
"New Hampshire",2011,62647
"Colorado",2011,55387
"Virginia",2011,61882
"Utah",2011,55869
"Alaska",2011,67825
"Minnesota",2011,56954
"New York",2011,55246
"Rhode Island",2011,53636
"Delaware",2011,58814
"Illinois",2011,53234
"Oregon",2011,46816
"United States",2011,50502
"Wyoming",2011,56322
"North Dakota",2011,51704
"Wisconsin",2011,50395
"Texas",2011,49392
"Pennsylvania",2011,50228
"Nevada",2011,48927
"Nebraska",2011,50296
"Vermont",2011,52776
"Kansas",2011,48964
"Arizona",2011,46709
"Georgia",2011,46007
"Iowa",2011,49427
"Idaho",2011,43341
"Michigan",2011,45981
"South Dakota",2011,48321
"Florida",2011,44299
"Maine",2011,46033
"Ohio",2011,45749
"Indiana",2011,46438
"Missouri",2011,45247
"North Carolina",2011,43916
"Montana",2011,44222
"South Carolina",2011,42367
"Tennessee",2011,41693
"Oklahoma",2011,43225
"Kentucky",2011,41141
"New Mexico",2011,41963
"Alabama",2011,41415
"Louisiana",2011,41734
"Arkansas",2011,38758
"West Virginia",2011,38482
"Mississippi",2011,36919
"Distric of Columbia",2010,60903
"Maryland",2010,68854
"Massachusetts",2010,62072
"New Jersey",2010,67681
"Hawaii",2010,63030
"California",2010,57708
"Connecticut",2010,64032
"Washington",2010,55631
"New Hampshire",2010,61042
"Colorado",2010,54046
"Virginia",2010,60674
"Utah",2010,54744
"Alaska",2010,64576
"Minnesota",2010,55459
"New York",2010,54148
"Rhode Island",2010,52254
"Delaware",2010,55847
"Illinois",2010,52972
"Oregon",2010,46560
"United States",2010,50046
"Wyoming",2010,53512
"North Dakota",2010,48670
"Wisconsin",2010,49001
"Texas",2010,48615
"Pennsylvania",2010,49288
"Nevada",2010,51001
"Nebraska",2010,48408
"Vermont",2010,49406
"Kansas",2010,48257
"Arizona",2010,46789
"Georgia",2010,46430
"Iowa",2010,47961
"Idaho",2010,43490
"Michigan",2010,45413
"South Dakota",2010,45904
"Florida",2010,44409
"Maine",2010,45815
"Ohio",2010,45090
"Indiana",2010,44613
"Missouri",2010,44301
"North Carolina",2010,43326
"Montana",2010,42666
"South Carolina",2010,42018
"Tennessee",2010,41461
"Oklahoma",2010,42072
"Kentucky",2010,40062
"New Mexico",2010,42090
"Alabama",2010,40474
"Louisiana",2010,42505
"Arkansas",2010,38307
"West Virginia",2010,38218
"Mississippi",2010,36851
